Year,Race,Sex,Age13,Age14,Age15,Age16,Age17,Age18
2007,Black,Female,313057,320333,329764,337166,342612,327974
2007,Hispanic,Female,410966,406803,409104,405214,400993,381669
2007,White,Female,1169453,1189519,1229240,1262794,1286273,1262145
2007,Black,Male,322404,333136,340588,350196,356246,337643
2007,Hispanic,Male,429344,427746,430294,433744,436736,425392
2007,White,Male,1237827,1260575,1299481,1335611,1367273,1327195
2009,Black,Female,292451,300464,315761,329306,332482,342497
2009,Hispanic,Female,430913,427161,428438,429744,428141,430004
2009,White,Female,1138594,1145783,1163417,1194352,1218998,1261701
2009,Black,Male,300638,311602,327014,344040,346253,353453
2009,Hispanic,Male,450365,448572,449839,457631,461003,469206
2009,White,Male,1205364,1214010,1234472,1268449,1290746,1323374
2011,Black,Female,288348,289119,290533,305229,321336,330571
2011,Hispanic,Female,443828,439463,437243,440513,442798,441777
2011,White,Female,1105955,1116162,1126753,1148772,1168697,1186980
2011,Black,Male,298227,297905,298918,316811,333773,345598
2011,Hispanic,Male,461990,458684,457230,463758,469860,475993
2011,White,Male,1167785,1174858,1193311,1218593,1240816,1261009
2013,Black,Female,294389,287789,290346,291308,293139,308083
2013,Hispanic,Female,470864,456403,449329,445389,443906,448325
2013,White,Female,1108221,1102773,1106716,1117416,1128499,1150713
2013,Black,Male,304537,297435,300127,299955,301151,319055
2013,Hispanic,Male,489431,472581,467600,465674,465982,474127
2013,White,Male,1170889,1164856,1168343,1175493,1194556,1220417
2015,Black,Female,277420,288114,296575,290291,293304,294434
2015,Hispanic,Female,475514,478590,477538,463740,457421,454060
2015,White,Female,1055573,1087168,1109342,1104275,1108800,1119909
2015,Black,Male,284924,296412,306812,299955,302793,302612
2015,Hispanic,Male,491305,495200,497264,481837,478183,477337
2015,White,Male,1111549,1145052,1171727,1165962,1170188,1178239
2017,Black,Female,275049,274682,279837,290864,299803,293703
2017,Hispanic,Female,497176,489282,482776,486576,486337,473192
2017,White,Female,1056653,1055866,1056706,1088767,1111525,1106956
2017,Black,Male,282245,281215,287442,299205,309739,302867
2017,Hispanic,Male,514327,505348,500235,505654,509226,494922
2017,White,Male,1113851,1112991,1112463,1146244,1173732,1168805
